country,year,debt_to_gdp,deficit_to_gdp,revenue_to_gdp,expenditure_to_gdp,risk_score
Egypt,2004.0,3907.788996497012,,,,98.08952
Egypt,2005.0,3385.5153203342616,,,,99.16802
Egypt,2006.0,3053.9906103286385,484.5394204306297,7292.536830176461,6807.997409745831,99.853745
Egypt,2007.0,2617.0784103114934,-5150.912996777659,27611.97636949517,32762.889366272826,99.755646
Egypt,2008.0,2416.649916247906,-6360.692350642099,27787.269681742044,34147.96203238414,99.86929
Egypt,2009.0,2477.230857800806,-6562.943772788331,27686.144693916714,34249.08846670505,99.692955
Egypt,2010.0,2175.4765456655064,-7741.339300513841,25141.80341455329,32883.14271506714,99.83704
Egypt,2011.0,1975.9463204726135,-10094.08504120779,22026.839763693384,32120.924804901177,99.86274
Egypt,2012.0,1528.297605541291,-10005.194960291396,20831.492207559564,30836.68716785096,99.93241
Egypt,2013.0,1531.3695979359275,-12924.263599225973,21696.248118684154,34620.51171791012,99.92058
Egypt,2014.0,1364.0375586854461,-11286.291079812207,24387.276995305165,35673.56807511737,99.82839
Egypt,2015.0,1051.89246695855,-10947.70653463726,22029.461107246614,32977.167641883876,99.89371
Egypt,2016.0,901.9229349671514,-9414.04000885805,12244.076179227874,21658.11618808592,95.654915
Egypt,2017.0,953.9292650236602,-9898.383434995487,20654.558385076176,30552.941820071665,99.663284
Egypt,2018.0,1021.1478290686213,-9001.028674296002,19629.97728344263,28631.00595773863,99.816986
Egypt,2019.0,1023.4453180843459,-7595.335954253038,19302.215868477484,26897.551822730522,99.77469
Egypt,2020.0,1127.199882976303,-7468.582387933556,18226.798426681402,25695.380814614957,99.819496
Egypt,2021.0,1237.3459800993533,-6955.276072698894,19000.570305113233,25955.84637781213,99.72418
Egypt,2022.0,1049.0965890978641,-5778.616512591649,18922.244182339815,24700.860694931464,99.22092
Egypt,2023.0,821.5166315457786,-5768.143056895839,16973.403312523387,22741.546369419226,99.48713
Nigeria,2017.0,16675.31264129226,-4439.753383942889,3149.6503763079395,7589.403760250829,99.50453
Nigeria,2018.0,17590.632380928473,-2776.996521180962,3062.501070015542,5839.497591196505,99.555534
Nigeria,2019.0,17129.379561016354,-3375.024049167003,3116.6649294962876,6491.688978663289,99.79083
Nigeria,2020.0,18559.52223603509,-4001.1041649162876,2451.6999160855407,6452.804081001828,98.53958
Nigeria,2021.0,18802.86992227766,-3924.5471402892513,2719.54303693586,6644.090177225111,99.55492
Nigeria,2022.0,20558.917470025208,-4610.664432024862,2620.9430859147496,7231.607517939612,99.591515
Nigeria,2023.0,21266.28633328116,-5759.525045674346,2558.7018090278502,8318.226854702196,98.532074
Nigeria,2024.0,43846.345489257445,-346.5227220588512,162.04219063937217,508.5649126982233,98.66582
South Africa,1993.0,29.22341350875434,,1.5499139012952456,,0.01775549
South Africa,1994.0,32.508052805630484,,1.6881534428377796,,0.011304547
South Africa,1995.0,38.21523243113996,,1.776045153126542,,0.0108926715
South Africa,1996.0,39.176327757991544,,2.002553676282596,,0.014859925
South Africa,1997.0,39.28159921305291,,1.8130225724199904,,0.0118955625
South Africa,1998.0,39.44079824021137,,1.7225286564599276,,0.0136432545
South Africa,1999.0,38.81340763131795,,1.7041334217963124,,0.011943254
South Africa,2000.0,35.68781957290062,,1.4955304576741948,,0.014446952
South Africa,2001.0,34.504160019065125,,1.6594327788079284,,0.011433697
South Africa,2002.0,31.86797994013696,,1.5509165392744129,,0.01635762
South Africa,2003.0,29.05168308551357,,1.2971693982997923,,0.01561526
South Africa,2004.0,28.66825369919442,,1.3924912345974947,,0.016660098
South Africa,2005.0,28.025074210886004,,1.4606956909308366,,0.012837148
South Africa,2006.0,26.5457142609836,,1.4861047095536943,,0.013695653
South Africa,2007.0,24.793430409767225,,1.4000810500122929,,0.012396941
South Africa,2008.0,22.317932278353446,,1.4722984412004356,,0.013639613
South Africa,2009.0,22.804434945960626,,1.4152028466420181,,0.013696842
South Africa,2010.0,25.10671180501511,,1.298331870015485,,0.025008779
South Africa,2011.0,29.026160348723177,,1.464151238428098,,0.023510331
South Africa,2012.0,32.892242055838146,,1.4175418367053267,,0.018774461
South Africa,2013.0,34.88459549614074,,1.2227066799439588,,0.017988918
South Africa,2014.0,37.55981358130831,,1.3241335603482083,,0.017988918
South Africa,2015.0,40.44867493476333,,1.2672162201649395,,0.017988918
South Africa,2016.0,42.4255458948359,,1.4335165041863005,,0.017988918
South Africa,2017.0,43.90662875423409,,1.298947083690507,,0.019107608
South Africa,2018.0,46.98904566027129,,1.383318399156675,,0.022906948
South Africa,2019.0,48.831273582300724,,1.3473638581324627,,0.019366505
South Africa,2020.0,57.43341083790067,,1.636022306148821,,0.019505681
South Africa,2021.0,62.66387422027544,,1.3550312738034793,,0.023052584
South Africa,2022.0,63.5366823075193,,1.579079325293914,,0.018224092
South Africa,2023.0,67.67986545365243,,1.6242609621876043,,0.023061575
South Africa,2024.0,70.71424306886279,,1.5746617955078364,,0.025967171
Togo,1970.0,14.925373134328357,,,,0.22318648
Togo,1971.0,15.897435897435896,,,,0.22318648
Togo,1972.0,13.538812785388126,,,,0.22318648
Togo,1973.0,17.1570796460177,,,,0.22318648
Togo,1974.0,23.351185921958688,,,,0.22318648
Togo,1975.0,28.03585346843336,,,,0.22318648
Togo,1976.0,42.46515040352164,,,,0.31140375
Togo,1977.0,63.21090047393365,,,,12.313239
Togo,1978.0,98.02436440677965,,,,98.54376
Togo,1979.0,110.29135338345864,,,,99.52295
Togo,1980.0,99.45889261744966,,,,99.730576
Togo,1981.0,105.88372093023256,,,,99.76579
Togo,1982.0,115.85836114200964,,,,99.68797
Togo,1983.0,117.2248322147651,,,,99.543236
Togo,1984.0,112.49840662842574,,,,99.76841
Togo,1985.0,122.68029197080293,,,,99.64759
Togo,1986.0,100.40283070223191,,,,99.78974
Togo,1987.0,98.85721896643581,,,,99.729866
Togo,1988.0,88.34506187818491,,,,99.77452
Togo,1989.0,86.94161260426321,,,,99.19721
Togo,1990.0,50.693555891590094,0.0,18.55298359892986,18.55298359892986,14.275068
Togo,1991.0,54.137078907004486,0.0,16.332443333522694,16.332443333522694,5.487553
Togo,1992.0,51.68307399174341,0.0,14.26138167960969,14.26138167960969,9.357324
Togo,1993.0,64.83520373845009,0.0,16.47962615498991,16.47962615498991,99.8569
Togo,1994.0,94.14443797320908,0.0,15.829935934769948,15.829935934769948,99.9252
Togo,1995.0,72.26582427500686,0.0,14.440999882274456,14.440999882274456,98.867096
Togo,1996.0,66.67221356128151,0.0,13.19868976510361,13.19868976510361,6.4083633
Togo,1997.0,59.20462511400725,0.0,12.150723239388844,12.150723239388844,0.14828904
Togo,1998.0,68.41935229690331,0.0,16.728390197777955,16.728390197777955,99.805466
Togo,1999.0,70.68000090435673,0.0,13.188535771077165,13.188535771077165,97.82108
Togo,2000.0,60.298216183340806,0.0,11.749530486623048,11.749530486623048,4.8134985
Togo,2001.0,61.98188091495509,0.0,9.920492567783509,9.920492567783509,0.11316749
Togo,2002.0,53.44283082517883,0.0,8.092686077948178,8.092686077948178,0.10347221
Togo,2003.0,47.7300797617536,0.0,8.876525111677998,8.876525111677998,0.09768589
Togo,2004.0,46.430927014195476,0.0,9.851865496485297,9.851865496485297,0.06820113
Togo,2005.0,48.29547126937499,0.0,12.93923035715337,12.93923035715337,0.056884345
Togo,2006.0,48.414057051293135,0.0,14.075495841330774,14.075495841330774,0.06937489
Togo,2007.0,47.07582029839135,0.0,12.869169005084322,12.869169005084322,0.05515308
Togo,2008.0,33.29791349397944,0.0,12.403472776507343,12.403472776507343,0.08734138
Togo,2009.0,34.67980384298433,0.0,14.693763593870319,14.693763593870319,0.06834532
Togo,2010.0,11.083717622812959,0.0,15.094805598490947,15.094805598490947,0.025298769
Togo,2011.0,9.4665247405413,0.0,16.467604840098303,16.467604840098303,0.023535114
Togo,2012.0,10.087122637413529,0.0,19.356566036643606,19.356566036643606,1.5752709
Togo,2013.0,12.016959581457433,0.0,20.658142044900522,20.658142044900522,1.3185339
Togo,2014.0,12.110556743486182,0.0,20.169478102478816,20.169478102478816,11.503543
Togo,2015.0,15.49362416206002,0.0,22.940673408391596,22.940673408391596,14.606425
Togo,2016.0,15.679026071488131,0.0,25.36828061593196,25.36828061593196,98.89627
Togo,2017.0,14.83458707433471,0.0,19.350750896492222,19.350750896492222,41.466976
Togo,2018.0,15.387767646757503,0.0,20.20797049482635,20.20797049482635,3.4036536
Togo,2019.0,18.33736057211198,0.0,18.395938590710504,18.395938590710504,0.046080746
Togo,2020.0,23.03899701828939,0.0,26.560702462846002,26.560702462846002,53.39096
Togo,2021.0,23.001227885097624,0.0,24.631202116804733,24.631202116804733,2.2331505
Togo,2022.0,65.37572480802383,0.0,28.937470615890927,28.937470615890927,98.22943
Togo,2023.0,66.05679469821136,0.0,29.266728425853344,29.266728425853344,81.55659
Togo,2024.0,68.15886134067954,0.0,27.9351961170143,27.9351961170143,65.26626
